sku,numsales,abmedian,new,rprice,creviewcount,creviewavg
1004622,53,1,0,19.99,7,3.4
1010544,12,1,0,29.99,3,4
1011067,3,1,0,19.99,1,2
1011491,85,1,0,12.99,18,4.6
1011831,6,1,0,9.99,2,3.5
1012721,140,1,0,19.99,13,3.8
1012876,5,1,0,39.99,8,3.4
1013666,41,1,0,68.18,2,4.5
1014064,15,1,0,7.99,4,4.8
1032361,168,1,0,19.99,45,4.2
1052221,28,1,0,19.99,11,4
1066233,30,1,0,29.99,5,4.8
1066515,15,1,0,9.99,6,4.7
1066551,94,1,0,29.99,10,4.5
1067848,46,1,0,19.99,59,2.7
1067948,5,1,0,19.99,7,3.3
1078792,122,1,0,29.99,17,4.4
1092494,191,1,0,29.99,2,5
1094401,2,0,0,19.99,4,5
1121355,15,1,0,14.99,0,0
1142357,2,0,0,4.99,1,4
1154546,33,1,0,8.99,8,4
1161734,43,1,0,29.99,24,4.5
1170735,9,1,0,29.99,6,4.2
1179927,46,1,0,19.99,58,4
1179963,42,1,0,19.99,9,4.6
1180061,15,1,0,19.99,21,4.3
1180104,173,1,0,19.99,143,4.7
1182175,178,1,0,39.99,14,4.6
1184298,3,0,0,27.99,1,1
1199284,37,1,1,29.99,19,3.9
1207275,49,1,0,19.99,3,5
1208344,1,0,0,24.5,1,4
1208468,4,0,0,19.99,22,1.6
1208486,1,0,0,7.99,10,2
1208753,3,0,0,12.99,0,0
1228939,569,1,0,19.99,20,4.5
1228993,46,1,0,12.99,2,4
2032076,318,1,0,29.99,15,4.8
2051131,32,1,0,2.99,19,3.1
2075383,10,0,0,29.99,3,1.3
2078113,1343,1,0,59.99,47,4.5
2095189,391,1,0,59.99,88,4.9
2106238,8,0,0,19.99,2,3.5
2107458,2607,1,0,24.99,88,4.3
2138219,5,0,0,39.99,0,0
2138398,2,0,0,39.99,1,1
2141045,1,0,0,14.5,0,0
2146641,48,1,0,29.99,16,4.9
2173065,2075,1,0,39.99,70,4.9
2173135,13,0,0,29.99,2,4.5
2202037,88,1,0,29.99,2,4.5
2212043,63,1,0,69.99,7,4.9
2248278,87,1,0,39.99,1,5
2281794,17,1,0,29.99,0,0
2284728,5,0,1,29.99,10,3.9
2319319,17,1,0,29.99,4,4.3
2330703,176,1,0,49.99,34,4.5
2340293,213,1,0,29.99,16,3.6
2375195,990,1,0,39.99,26,3.4
2396097,5,0,0,19.99,1,5
2432045,16,1,0,19.99,3,2.3
2432142,20,1,0,39.99,0,0
2432276,117,1,0,29.99,18,3
2467129,1039,1,0,79.99,18,5
2467183,757,1,0,99.99,10,5
2480232,43,1,0,19.99,3,4.7
2524106,5,0,0,29.99,2,1
2525293,14,0,0,39.99,3,2
2540079,34,1,0,11.99,7,4.9
2541184,2557,1,0,29.99,24,4.5
2542262,13,0,0,9.99,0,0
2542914,20,1,0,59.99,1,4
2548405,6,0,0,19.99,0,0
2550207,2,0,0,39.99,1,4
2576068,25,1,0,34.99,3,4.7
2598445,64,1,0,19.99,12,3.7
2598588,14,0,0,14.99,0,0
2613542,234,1,0,39.99,39,4.3
2628429,309,1,0,29.99,8,4.6
2633103,684,1,0,59.99,33,4.2
2633149,509,1,0,59.99,28,4.8
2633158,25,1,0,14.99,0,0
2643215,13,0,0,19.99,4,4
2663112,70,1,0,29.99,4,4.8
2670133,2321,1,0,59.99,219,3.7
2671044,143,1,0,59.99,4,3.5
2677215,3,0,0,29.99,1,5
2678108,17,1,0,19.99,5,4.6
2678241,46,1,0,29.99,26,3.5
2678578,40,1,0,29.99,4,4.8
2730972,5,0,0,49.99,0,0
2731025,4,0,0,39.99,0,0
2737083,59,1,0,19.99,0,0
2737171,21,1,0,49.99,21,2.9
2749041,202,1,0,19.99,5,4.8
2755149,116,1,0,29.99,4,2.8
2758085,331,1,0,29.99,8,4.8
2758119,9,0,0,9.99,1,5
